Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fuel/Energy Used:,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kwh),Electric Propulsion (kwh) Questionable,Electric Battery (kwh),Electric Battery (kwh) Questionable,Miles Traveled by Vehicles Fueled by:,Diesel,Diesel Questionable,Gasoline,Gasoline Questionable,Liquefied Petroleum Gas,Liquefied Petroleum Gas Questionable,Compressed Natural Gas,Compressed Natural Gas Questionable,Other Fuel,Other Fuel Questionable,Electric Propulsion,Electric Propulsion Questionable,Electric Battery,Electric Battery Questionable,Miles per Gallon/KwH:,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kwh),Electric Propulsion (mi/kwh) Questionable,Electric Battery (mi/kwh),Electric Battery (mi/kwh) Questionable,Any data questionable?,,,0,
"City of Phoenix Public Transit Department , dba: Valley Metro",Phoenix,AZ,9032,90032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,629,114",542,DR, PT , 121 ,,0,,"574,664",,0,,0,,0,,0,,0,,0,,,0,,"3,515,692",,0,,0,,0,,0,,0,,,,,6.12,,,,,,,,,,,,No,,,,
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,9045,90045,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,886,011",523,DR, PT , 293 ,,0,,0,,0,,"1,590,753",,0,,0,,0,,0,,,0,,0,,0,,"10,162,233",,0,,0,,0,,,,,,,,,6.39,,,,,,,,No,,,,
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,9045,90045,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,886,011",523,MB, PT , 230 ,,0,,0,,0,,"6,067,909",,"504,659",,0,,0,,0,,,"1,493,324",,0,,0,,"17,757,061",,0,,0,,0,,,,,,,,,2.93,,,,,,,,No,,,,
Santa Clara Valley Transportation Authority,San Jose,CA,9013,90013,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,664,496",515,LR, DO , 46 ,,0,,0,,0,,0,,0,,0,,"20,625,366",,0,,,0,,0,,0,,0,,0,,"3,069,653",,0,,,,,,,,,,,,,0.15,,,,No,,,,
Santa Clara Valley Transportation Authority,San Jose,CA,9013,90013,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,664,496",515,MB, DO , 319 ,,"2,725,444",,0,,0,,0,,0,,0,,0,,"187,127",,,"14,055,630",,0,,0,,0,,0,,0,,"68,225",,,5.16,,,,,,,,,,,,0.36,,No,,,,
Santa Clara Valley Transportation Authority,San Jose,CA,9013,90013,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,664,496",515,DR, PT , 138 ,,0,,"293,350",,0,,0,,0,,0,,0,,0,,,0,,"2,547,919",,0,,0,,0,,0,,0,,,,,8.69,,,,,,,,,,,,No,,,,
Santa Clara Valley Transportation Authority,San Jose,CA,9013,90013,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,664,496",515,MB, PT , 12 ,,0,,0,,"35,039",,0,,0,,0,,0,,0,,,0,,0,,0,,0,,"150,702",,0,,0,,,,,,,0.00,,,,,,,,,,No,,,,
San Francisco Bay Area Rapid Transit District,Oakland,CA,9003,90003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",512,HR, DO , 496 ,,0,,0,,0,,0,,0,,0,,"206,767,697",,0,,,0,,0,,0,,0,,0,,"51,064,209",,0,,,,,,,,,,,,,0.25,,,,No,,,,
San Francisco Bay Area Rapid Transit District,Oakland,CA,9003,90003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",512,MG, PT , 2 ,,0,,0,,0,,0,,0,,0,,"4,927,753",,0,,,0,,0,,0,,0,,0,,"219,720",,0,,,,,,,,,,,,,0.04,,,,No,,,,
San Francisco Bay Area Rapid Transit District,Oakland,CA,9003,90003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",512,YR, DO , 14 ,,0,,0,,0,,0,,"204,916",,0,,0,,0,,,"1,009,282",,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,0029,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",505,CB, PT , 50 ,,"503,800",,0,,0,,0,,0,,0,,0,,0,,,"2,405,575",,0,,0,,0,,0,,0,,0,,,4.77,,,,,,,,,,,,,,No,,,,
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,0029,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",505,CB, DO , 46 ,,"340,088",,0,,0,,0,,"17,899",,0,,0,,0,,,"4,429,898",,0,,0,,0,,0,,0,,0,,,13.03,,,,,,,,,,,,,,No,,,,
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,0029,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",505,DR, PT , 36 ,,0,,"151,572",,"3,073",,0,,0,,0,,0,,0,,,0,,"1,023,994",,0,,0,,"17,303",,0,,0,,,,,6.76,,0.00,,,,,,,,,,No,,,,
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,0029,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",505,VP, DO , 262 ,,0,,"75,165",,0,,0,,0,,0,,0,,0,,,0,,"1,519,643",,0,,0,,0,,0,,0,,,,,20.22,,,,,,,,,,,,No,,,,
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,0029,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",505,MB, DO , 111 ,,"1,531,418",,0,,0,,0,,"80,601",,0,,0,,0,,,"6,942,256",,0,,0,,0,,0,,0,,0,,,4.53,,,,,,,,,,,,,,No,,,,
Alameda-Contra Costa Transit District,Oakland,CA,9014,90014,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",500,MB, DO , 330 ,,"3,635,035",,0,,0,,0,,0,,"92,127",,0,,"266,558",,,"15,382,670",,0,,0,,0,,0,,0,,"118,923",,,4.23,,,,,,,,0.00,,,,0.45,,No,,,,
Alameda-Contra Costa Transit District,Oakland,CA,9014,90014,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",500,CB, DO , 22 ,,"81,129",,0,,0,,0,,0,,0,,0,,0,,,"1,485,457",,0,,0,,0,,0,,0,,0,,,18.31,,,,,,,,,,,,,,No,,,,
Alameda-Contra Costa Transit District,Oakland,CA,9014,90014,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",500,RB, DO , 17 ,,"207,749",,0,,0,,0,,0,,0,,0,,0,,,"780,780",,0,,0,,0,,0,,0,,0,,,3.76,,,,,,,,,,,,,,No,,,,
Alameda-Contra Costa Transit District,Oakland,CA,9014,90014,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",500,MB, PT , 15 ,,"73,153",,0,,0,,0,,0,,0,,0,,0,,,"444,795",,0,,0,,0,,0,,0,,0,,,6.08,,,,,,,,,,,,,,No,,,,
Alameda-Contra Costa Transit District,Oakland,CA,9014,90014,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,281,212",500,DR, PT , 116 ,,0,,"405,895",,0,,0,,0,,0,,0,,0,,,0,,"2,948,541",,0,,0,,0,,0,,0,,,,,7.26,,,,,,,,,,,,No,,,,
Puerto Rico Highway and Transportation Authority - Público,San Juan,PR,4105,40105,State Government Unit or Department of Transportation,Full Reporter,"2,148,346",482,PB, PT , 482 ,,"13,012",,"506,934",,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,0.00,,0.00,,,,,,,,,,,,No,,,,
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,4029,40029,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379",461,MB, PT , 7 ,,0,,0,,"74,516",,0,,0,,0,,0,,0,,,0,,0,,0,,0,,"322,961",,0,,0,,,,,,,0.00,,,,,,,,,,No,,,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,7006,70006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,150,706",461,LR, DO , 42 ,,0,,0,,0,,0,,0,,0,,"34,344,421",,0,,,0,,0,,0,,0,,0,,"5,641,106",,0,,,,,,,,,,,,,0.16,,,,No,,,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,7006,70006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,150,706",461,MB, DO , 317 ,,0,,0,,0,,0,,"3,396,382",,0,,0,,"8,720",,,"15,807,847",,0,,0,,0,,0,,0,,"6,023",,,,,,,,,,,,,,,0.69,,No,,,,
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,4029,40029,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379",461,MB, DO , 278 ,,"4,170,146",,0,,0,,0,,0,,0,,0,,0,,,"16,225,875",,0,,0,,0,,0,,0,,0,,,3.89,,,,,,,,,,,,,,No,,,,
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,4029,40029,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379",461,DR, PT , 176 ,,0,,"468,338",,"577,005",,0,,0,,0,,0,,0,,,0,,"2,379,089",,0,,0,,"7,519,376",,0,,0,,,,,5.08,,0.00,,,,,,,,,,No,,,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,7006,70006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,150,706",461,DR, DO , 102 ,,0,,0,,0,,0,,"526,162",,0,,0,,0,,,"3,999,524",,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
Montachusett Regional Transit Authority,Fitchburg,MA,1061,10061,Independent Public Agency or Authority of Transit Service,Full Reporter,"116,960",403,DR, PT , 92 ,,"1,362",,"151,883",,0,,0,,0,,0,,0,,0,,,579,,"1,359,517",,0,,0,,0,,0,,0,,,0.43,,8.95,,,,,,,,,,,,No,,,,
Montachusett Regional Transit Authority,Fitchburg,MA,1061,10061,Independent Public Agency or Authority of Transit Service,Full Reporter,"116,960",403,DR, TX , 289 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
Montachusett Regional Transit Authority,Fitchburg,MA,1061,10061,Independent Public Agency or Authority of Transit Service,Full Reporter,"116,960",403,MB, PT , 22 ,,"84,635",,"41,932",,0,,0,,0,,0,,0,,0,,,"453,153",,"418,807",,0,,0,,0,,0,,0,,,5.35,,9.99,,,,,,,,,,,,No,,,,
San Diego Association of Governments,San Diego,CA,9095,90095,"MPO, COG or Other Planning Agency",Full Reporter,"2,956,746",389,VP, PT , 389 ,,0,,"457,564",,0,,0,,0,,0,,0,,"16,920",,,0,,"9,771,695",,0,,0,,0,,0,,"50,759",,,,,21.36,,,,,,,,,,3.00,,No,,,,
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",West Palm Beach,FL,4037,40037,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379",377,DR, PT , 259 ,,0,,"1,008,798",,0,,0,,0,,"385,684",,0,,0,,,0,,"6,587,122",,0,,0,,"927,694",,0,,0,,,,,6.53,,,,,,2.41,,,,,,No,,,,
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",West Palm Beach,FL,4037,40037,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379",377,MB, DO , 118 ,,"1,699,584",,0,,0,,0,,0,,0,,0,,0,,,"6,491,117",,0,,0,,0,,0,,0,,0,,,3.82,,,,,,,,,,,,,,No,,,,
"Westchester County, dba: The Bee-Line System",White Plains,NY,2076,20076,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295",373,DR, PT , 75 ,,0,,"231,077",,0,,0,,0,,0,,0,,0,,,0,,"2,103,971",,0,,0,,0,,0,,0,,,,,9.11,,,,,,,,,,,,No,,,,
"Westchester County, dba: The Bee-Line System",White Plains,NY,2076,20076,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295",373,DR, TX , 28 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
"Westchester County, dba: The Bee-Line System",White Plains,NY,2076,20076,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295",373,MB, PT , 270 ,,"2,493,478",,0,,0,,0,,0,,0,,0,,0,,,"9,895,206",,0,,0,,0,,0,,0,,0,,,3.97,,,,,,,,,,,,,,No,,,,
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,5008,50008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,376,476",368,DR, PT , 62 ,,"10,798",,"283,237",,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,0.00,,0.00,,,,,,,,,,,,No,,,,
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,5008,50008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,376,476",368,MB, PT , 306 ,,"3,224,487",,0,,0,,0,,0,,0,,0,,0,,,"17,391,501",,0,,0,,0,,0,,0,,0,,,5.39,,,,,,,,,,,,,,No,,,,
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,3070,30070,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770",364,CB, PT , 87 ,,"1,120,572",,0,,0,,0,,0,,0,,0,,0,,,"3,744,739",,0,,0,,0,,0,,0,,0,,,3.34,,,,,,,,,,,,,,No,,,,
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,3070,30070,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770",364,MB, PT , 32 ,,"797,969",,0,,0,,0,,0,,0,,0,,0,,,"802,196",,0,,0,,0,,0,,0,,0,,,1.01,,,,,,,,,,,,,,No,,,,
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,3070,30070,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770",364,VP, PT , 244 ,,0,,"221,729",,0,,0,,0,,0,,0,,0,,,0,,"5,016,466",,0,,0,,0,,0,,0,,,,,22.62,,,,,,,,,,,,No,,,,
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,3070,30070,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770",364,DR, PT , 1 ,,0,,"1,463",,0,,0,,0,,0,,0,,0,,,0,,"17,613",,0,,0,,0,,0,,0,,,,,12.04,,,,,,,,,,,,No,,,,
Regional Transportation Commission of Washoe County,Reno,NV,9001,90001,Independent Public Agency or Authority of Transit Service,Full Reporter,"392,141",360,MB, PT , 55 ,,0,,0,,0,,0,,"578,881",,0,,0,,"1,020,574",,,"1,829,077",,0,,0,,0,,0,,0,,"456,500",,,,,,,,,,,,,,,0.45,,No,,,,
Regional Transportation Commission of Washoe County,Reno,NV,9001,90001,Independent Public Agency or Authority of Transit Service,Full Reporter,"392,141",360,DR, PT , 37 ,,0,,"13,562",,0,,"180,185",,0,,0,,0,,0,,,0,,"217,142",,0,,"947,512",,0,,0,,0,,,,,16.01,,,,5.26,,,,,,,,No,,,,
Regional Transportation Commission of Washoe County,Reno,NV,9001,90001,Independent Public Agency or Authority of Transit Service,Full Reporter,"392,141",360,CB, PT , 3 ,,0,,0,,0,,0,,0,,0,,0,,"248,359",,,0,,0,,0,,0,,0,,0,,"117,693",,,,,,,,,,,,,,,0.47,,No,,,,
Regional Transportation Commission of Washoe County,Reno,NV,9001,90001,Independent Public Agency or Authority of Transit Service,Full Reporter,"392,141",360,VP, PT , 265 ,,0,,"195,738",,0,,0,,0,,0,,0,,0,,,0,,"3,377,900",,0,,0,,0,,0,,0,,,,,17.26,,,,,,,,,,,,No,,,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,0040,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",357,CR, PT , 77 ,,"666,832",,0,,0,,0,,0,,0,,0,,0,,,"336,246",,0,,0,,0,,0,,0,,0,,,0.50,,,,,,,,,,,,,,No,,,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,0040,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",357,LR, DO , 72 ,,0,,0,,0,,0,,0,,0,,"26,997,576",,0,,,0,,0,,0,,0,,0,,"6,137,374",,0,,,,,,,,,,,,,0.23,,,,No,,,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,0040,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",357,CB, PT , 36 ,,"671,282",,0,,0,,0,,0,,0,,0,,0,,,"3,036,028",,0,,0,,0,,0,,0,,0,,,4.52,,,,,,,,,,,,,,No,,,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,0040,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",357,SR, DO , 2 ,,0,,0,,0,,0,,0,,0,,"391,680",,0,,,0,,0,,0,,0,,0,,"74,595",,0,,,,,,,,,,,,,0.19,,,,No,,,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,0040,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",357,CB, DO , 170 ,,"2,072,544",,0,,0,,"351,749",,0,,0,,0,,0,,,"9,420,371",,0,,0,,"1,717,360",,0,,0,,0,,,4.55,,,,,,4.88,,,,,,,,No,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",356,DR, PT , 57 ,,0,,"249,323",,0,,0,,0,,0,,0,,0,,,0,,"2,178,078",,0,,0,,0,,0,,0,,,,,8.74,,,,,,,,,,,,No,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",356,DR, DO , 52 ,,0,,"205,711",,"83,668",,0,,0,,0,,0,,0,,,0,,"1,765,102",,0,,0,,"258,878",,0,,0,,,,,8.58,,0.00,,,,,,,,,,No,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",356,LR, DO , 5 ,,0,,0,,0,,0,,0,,0,,"9,634,909",,0,,,0,,0,,0,,0,,0,,"529,320",,0,,,,,,,,,,,,,0.05,,,,No,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",356,MB, DO , 213 ,,"1,436,028",,0,,0,,"1,723,170",,0,,0,,0,,0,,,"7,926,888",,0,,0,,"5,905,630",,0,,0,,0,,,5.52,,,,,,3.43,,,,,,,,No,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",356,HR, DO , 18 ,,0,,0,,0,,0,,0,,0,,"18,478,130",,0,,,0,,0,,0,,0,,0,,"2,402,430",,0,,,,,,,,,,,,,0.13,,,,No,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,780,673",356,RB, DO , 11 ,,"192,627",,0,,0,,"1,794",,0,,0,,0,,0,,,"442,449",,0,,0,,"3,030",,0,,0,,0,,,2.30,,,,,,1.69,,,,,,,,No,,,,
Pierce County Transportation Benefit Area Authority,Tacoma,WA,0003,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",351,DR, PT , 53 ,,0,,"187,922",,0,,0,,0,,0,,0,,0,,,0,,"1,321,178",,0,,0,,0,,0,,0,,,,,7.03,,,,,,,,,,,,No,,,,
Pierce County Transportation Benefit Area Authority,Tacoma,WA,0003,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",351,VP, DO , 176 ,,0,,"157,508",,0,,0,,0,,0,,0,,0,,,0,,"2,453,985",,0,,0,,0,,0,,0,,,,,15.58,,,,,,,,,,,,No,,,,
Pierce County Transportation Benefit Area Authority,Tacoma,WA,0003,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",351,DR, DO , 14 ,,0,,"24,234",,0,,"9,828",,0,,0,,0,,0,,,0,,"155,956",,0,,"70,288",,0,,0,,0,,,,,6.44,,,,7.15,,,,,,,,No,,,,
Pierce County Transportation Benefit Area Authority,Tacoma,WA,0003,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,059,393",351,MB, DO , 108 ,,"120,462",,"10,936",,0,,"1,186,669",,0,,0,,0,,"144,510",,,"524,215",,"56,744",,0,,"4,801,264",,0,,0,,"5,315",,,4.35,,5.19,,,,4.05,,,,,,0.04,,No,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",349,DR, TX , 7 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",349,DR, PT , 65 ,,0,,"393,927",,0,,0,,0,,0,,0,,0,,,0,,"3,417,276",,0,,0,,0,,0,,0,,,,,8.67,,,,,,,,,,,,No,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",349,LR, DO , 6 ,,0,,0,,0,,0,,0,,0,,"4,566,689",,0,,,0,,0,,0,,0,,0,,"380,278",,0,,,,,,,,,,,,,0.08,,,,No,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",349,MB, DO , 240 ,,"2,157,513",,0,,0,,0,,0,,0,,0,,"258,300",,,"10,307,278",,0,,0,,0,,0,,0,,"63,337",,,4.78,,,,,,,,,,,,0.25,,No,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",349,FB, PT , 2 ,,"31,864",,0,,0,,0,,0,,0,,0,,0,,,"18,096",,0,,0,,0,,0,,0,,0,,,0.57,,,,,,,,,,,,,,No,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",349,VP, PT , 19 ,,0,,"18,734",,0,,0,,0,,0,,0,,0,,,0,,"252,716",,0,,0,,0,,0,,0,,,,,13.49,,,,,,,,,,,,No,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,3083,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,439,666",349,DR, TN , 10 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996",348,DR, TX , 9 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996",348,CB, PT , 87 ,,0,,0,,0,,"640,386",,0,,0,,0,,0,,,0,,0,,0,,"3,531,744",,0,,0,,0,,,,,,,,,5.52,,,,,,,,No,,,,
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996",348,DR, PT , 81 ,,0,,"135,057",,0,,"24,149",,0,,0,,0,,0,,,0,,"484,515",,0,,"84,289",,0,,0,,0,,,,,3.59,,,,3.49,,,,,,,,No,,,,
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,9147,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996",348,MB, PT , 171 ,,0,,0,,"577,697",,"2,033,989",,0,,0,,0,,"153,843",,,0,,0,,0,,"6,036,938",,"1,037,500",,0,,"170,388",,,,,,,0.00,,2.97,,,,,,1.11,,No,,,,
Niagara Frontier Transportation Authority,Buffalo,NY,2004,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,"935,906",345,DR, DO , 56 ,,"4,530",,"155,616",,0,,"18,793",,0,,0,,0,,0,,,"33,126",,"1,193,027",,0,,"171,654",,0,,0,,0,,,7.31,,7.67,,,,9.13,,,,,,,,No,,,,
Niagara Frontier Transportation Authority,Buffalo,NY,2004,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,"935,906",345,MB, DO , 266 ,,"1,010,187",,0,,0,,"1,022,171",,0,,0,,0,,0,,,"5,966,706",,0,,0,,"3,195,742",,0,,0,,0,,,5.91,,,,,,3.13,,,,,,,,No,,,,
Niagara Frontier Transportation Authority,Buffalo,NY,2004,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,"935,906",345,LR, DO , 23 ,,0,,0,,0,,0,,0,,0,,"9,250,945",,0,,,0,,0,,0,,0,,0,,"1,001,305",,0,,,,,,,,,,,,,0.11,,,,No,,,,
"Southwest Ohio Regional Transit Authority, dba: Metro / Access",Cincinnati,OH,5012,50012,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,624,827",326,DR, DO , 40 ,,"118,279",,0,,0,,0,,0,,0,,0,,0,,,"1,250,299",,0,,0,,0,,0,,0,,0,,,10.57,,,,,,,,,,,,,,No,,,,
"Southwest Ohio Regional Transit Authority, dba: Metro / Access",Cincinnati,OH,5012,50012,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,624,827",326,MB, DO , 286 ,,"2,134,585",,0,,0,,0,,0,,0,,0,,0,,,"10,330,947",,0,,0,,0,,0,,0,,0,,,4.84,,,,,,,,,,,,,,No,,,,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,4027,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770",320,DR, PT , 91 ,,0,,"166,545",,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,0.00,,,,,,,,,,,,No,,,,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,4027,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770",320,DR, TN , 23 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,4027,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770",320,MB, DO , 177 ,,"2,192,491",,0,,0,,0,,0,,0,,0,,"124,981",,,"9,803,739",,0,,0,,0,,0,,0,,"55,752",,,4.47,,,,,,,,,,,,0.45,,No,,,,
