NTD ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles ,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name, Population ,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
3R04-31036,,"STEP, Inc.",,,Rural Reporter,Rural,Private-Non-Profit Corporation,3R04,Pennsylvania Department of Transportation,Rural General Public Transit,12/31/2021,4/30/2022,2138 Lincoln St,,,Williamsport,PA,17701,5549,3,http://www.stepcorp.org/Transportation_Services,1429,F2QWB1PXGN67,,,,,,,,,33,3,36,,,Tier II,,,  
3R04-31037,,"Suburban Transit Network, Inc.",,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R04,Pennsylvania Department of Transportation,Asset Subrecipient,12/31/2021,4/30/2022,Union Meeting Corporate Center,"980 Harvest Drive, Suite 100",,Blue Bell,PA,19422,,3,https://www.suburbantransit.org/,,,,,,,,,,,,,,,,Tier II,,,  
3R04-31038,,Pike County,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,12/31/2021,4/30/2022,150 Pike County Blvd,,,Hawley,PA,18428,9107,3,https://www.pikepa.org/transportation.html,1429,FSCYERFHVEM7,,,,,,,,,15,,15,,,Tier II,,,  
3R04-31039,,Huntingdon-Bedford-Fulton Area Agency on Aging,,,Rural Reporter,Rural,Area Agency on Aging,3R04,Pennsylvania Department of Transportation,Rural General Public Transit,12/31/2021,4/30/2022,240 S Wood St,,,Bedford,PA,15522,1453,3,http://www.hbfaaa.org/transportation.html,1429,YYQLTUWT7VE5,,,,,,,,,23,,23,,,Tier II,,,  
3R04-31040,,Greene County - PA,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,12/31/2021,4/30/2022,93 E High St Fl 3Rd,,,Waynesburg,PA,15370,1839,3,http://www.co.greene.pa.us/secured/gc2/depts/hs/trans/trans.htm,1429,F5NZJQ9JN1T9,,,,,,,,,11,,11,,,Tier II,,,  
3R04-31041,,County of Butler,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,12/31/2021,4/30/2022,124 W Diamond St,,,Butler,PA,16001,5780,3,http://anrtransportation.org/transportation-services/butler-area-rural-transit-bart/,1429,CCZ1R4JL2GU4,,,,,,,,,,12,12,,,Tier II,,,  
3R04-31042,,Centre County Transportation,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,12/31/2021,4/30/2022,420 Holmes St Rm 151,,,Bellefonte,PA,16823,1401,3,http://centrecountypa.gov/index.aspx?NID=431,1429,TH5FMXLR4NJ5, 186 ,"662,047",,,,,,,13,,13,,,Tier II,,,  
3R04-31043,,Rover Community Transportation,,,Reduced Asset Reporter,Asset,Private-For-Profit Corporation,3R04,Pennsylvania Department of Transportation,Asset Subrecipient,12/31/2021,4/30/2022,1002 South Chestnut St.,,,Downingtown,PA,19335,,3,https://www.krapfbus.com/transportation/rover/,1429,,,,,,,,,,,,,,,Tier II,,,  
3R04-31044,,Somerset County,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,12/31/2021,4/30/2022,300 N Center Ave Ste 500,,,Somerset,PA,15501,1472,3,http://www.capfsc.org/Transportation.aspx,1429,JLXVEKZ8V3X3,,,,,,,,,,14,14,,,Tier II,,,  
3R04-31045,,Susquehanna County Commissioners,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,12/31/2021,4/30/2022,31 Lake Ave,,,Montrose,PA,18801,1022,3,http://www.trehab.org/index.cfm?fuseaction=dep_intro&dept_id=17,1429,G5ZJAY9MVTH1,,,,,,,,,,24,24,,,Tier II,,,  
3R04-60208,7R03-038,"Greyhound Lines, Inc.",,,Rural Reporter,Rural,Private-For-Profit Corporation,3R04,Pennsylvania Department of Transportation,Intercity Bus,12/31/2021,4/30/2022,350 N Saint Paul St Ste 300,,,Dallas,TX,75201,4231,6,http://www.greyhound.com,1635,DD9NSNXDTAR1,,,,,,,,,,,,,,Tier II,,,  
3R05,3R05,West Virginia Department of Transportation,DPT,,State Reporter,Rural,,,,,6/30/2021,10/31/2021,1900 Kanawha Blvd E Bldg 5 Rm 650,"Building 5, Room 650",,Charleston,WV,25305,27,3,http://www.transportation.wv.gov/,1501,T1U2JF6Q1H45,,,,,,,,,,,,,,Tier II,55,26," $677,899 "
3R05-30119,3R05-014,Central West Virginia Transit Authority,CENTRA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,208 N 4Th St,,430,Clarksburg,WV,26301,2705,3,http://www.centrabus.com/,1501,LUCMMNHF6BF9,,,,,,,,,20,,20,,,Tier II,,,  
3R05-30121,3R05-013,Bluefield Area Transit,BAT,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,200 Rogers St,,1838,Bluefield,WV,24701,2856,3,http://ridethebatbus.com/,1501,KWFYTBLKM3Z4,,,,,,,,,26,,26,,,Tier II,,,  
3R05-30122,3R05-023,Randolph County Senior Center ,CRT,Country Roads Transit,Rural Reporter,Rural,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,1 5Th St,,727,Elkins,WV,26241,3840,3,http://www.countryroadstransit.com/,1501,UH51HDNSU4G1,,,,,,,,,12,,12,,,Tier II,,,  
3R05-30135,3R05-018,Potomac Valley Transit Authority,PVTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,185 Providence Ln,,278,Petersburg,WV,26847,9754,3,http://www.potomacvalleytransit.org/,1501,MD85CAVNPHM6,,,,,,,,,22,,22,,,Tier II,,,  
3R05-30138,3R05-016,Barbour Co. Senior Center ,HAT,Here & There Transit,Rural Reporter,Rural,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,47 Church St,,146,Philippi,WV,26416,1103,3,http://www.hereandtheretransit.com/,1501,DGGJGCR66V29,,,,,,,,,11,,11,,,Tier II,,,  
3R05-30140,3R05-017,Mountain Transit Authority,MTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,1096 Broad St,,,Summersville,WV,26651,1739,3,http://www.mtawv.com/,1501,LQC6YMJSDLJ4,,,,,,,,,19,,19,,,Tier II,,,  
3R05-30149,3R05-015,Fairmont Marion County Transit Authority,FMCTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,400 Quincy St,,,Fairmont,WV,26554,3185,3,http://www.fmcta.com/,1501,VLYVJ935X5K3,,,,,,,,,28,,28,,,Tier II,,,  
3R05-30162,3R05-020,Little Kanawha Transit Authority,LKB,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,6162 S Calhoun Hwy,,,Mount Zion,WV,26151,,3,http://www.littlekanawhabus.com/,1501,DCNFA8KUS3H6,,,,,,,,,10,,10,,,Tier II,,,  
3R05-30183,3R05-021,Tri River Transit,TRT,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,753 Marconi Dr,,436,West Hamlin,WV,25571,9770,3,http://www.tririver.org/,1501,NNYTCD98UF19,,,,,,,,,29,,29,,,Tier II,,,  
3R05-30190,3R05-019,"Preston County Sr. Cit, Inc. ",,Buckwheat Express,Rural Reporter,Rural,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,108 Senior Center Dr,,10,Kingwood,WV,26537,1701,3,http://www.buckwheatexpress.com/,1501,XRLQD8UJBZ88,,,,,,,,,19,,19,,,Tier II,,,  
3R05-30991,,Wood County Senior Citizens Association,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,"914 Market Street, Suite 106",,,Parkersburg,WV,26101,,3,http://wcscwv.org/,,ZWHJEKDK2XK7,,,,,,,,,,,,,,Tier II,,,  
3R05-30992,,Sistersville Ferry ,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R05,West Virginia Department of Transportation,Rural General Public Transit,6/30/2021,10/31/2021,200 Diamond St,,,Sistersville,WV,26175,1314,3,https://facebook.com/sistersvilleferrylegacy,1501,ZM8NVD4RL253,,,,,,,,,1,,1,,,Tier II,,,  
3R05-30993,,Wirt County Committee on Aging & Family Services,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,74 Senior Circle,,370,Elizabeth,WV,26143,,3,,,WFMKBJ9T3M27,,,,,,,,,,,,,,Tier II,,,  
3R05-30994,,Webster County Senior Citizens,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,148 Court Square,,,Webster Springs,WV,26288,,3,,,,,,,,,,,,,,,,,Tier II,,,  
3R05-30995,,Tucker County Senior Citizens,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,206 3Rd St,,,Parsons,WV,26287,1041,3,,,CTTNTPLB8G18,,,,,,,,,,,,,,Tier II,,,  
3R05-30996,,Summers County Council on Aging,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,120 2Nd Ave,,,Hinton,WV,25951,2402,3,http://www.summersseniors.com/,,H8DKYMX6BKX3,,,,,,,,,,,,,,Tier II,,,  
3R05-30997,,Senior Life Services of Morgan County,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,106 Sand Mine Rd Ste 1,,,Berkeley Springs,WV,25411,7457,3,https://slsmc.org/,,G2PRL3JGHFK5,,,,,,,,,,,,,,Tier II,,,  
3R05-30999,,Raleigh County Community Action Association,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,111 Willow Ln,,,Beckley,WV,25801,5521,3,www.wvcommunityactionpartnership.org,,X2PHZUK7MQF1,,,,,,,,,,,,,,Tier II,,,  
3R05-31000,,Putnam County Aging Program,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,2558 Winfield Rd,,,Saint Albans,WV,25177,7804,3,http://putnamaging.com/,,R982TKHLKJU5,,,,,,,,,,,,,,Tier II,,,  
3R05-31001,,Pocahontas County Senior Citizens,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,20626 Seneca Trl,,,Marlinton,WV,24954,5506,3,,,RJ3CGBHFKTL8,,,,,,,,,,,,,,Tier II,,,  
3R05-31003,,Pendleton Senior & Family Services,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,231 Mill Road,,9,Franklin,WV,26807,,3,http://www.psfsi.org/,,R152L4C3G9P8,,,,,,,,,,,,,,Tier II,,,  
3R05-31004,,Monroe County Council on Aging,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,8395 Seneca Trl S,,149,Lindside,WV,24951,,3,www.mccoawv.net,,PM9UG6QSJDL7,,,,,,,,,,,,,,Tier II,,,  
3R05-31005,,"McDowell County Commission on Aging, Inc.",,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,725 Stewart St,,,Welch,WV,24801,2125,3,https://mcdowellcoa.org/,,R71ZJG9KMJA7,,,,,,,,,,,,,,Tier II,,,  
3R05-31006,,Marion County Senior Citizens,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,105 Maplewood Drive,,,Fairmont,WV,26554,,3,http://www.marionseniors.org/,,,,,,,,,,,,,,,,Tier II,,,  
3R05-31007,,"Logan-Mingo Area Mental Health, Inc.",,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,174 Lmah Center Rd,,176,Logan,WV,25601,4058,3,http://www.lmamh.org/,,K5RFCS5CMAF4,,,,,,,,,,,,,,Tier II,,,  
3R05-31008,,Lewis County Senior Citizens Center,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,171 W 2Nd St,,,Weston,WV,26452,1665,3,http://lcseniorcenter.org/n/,,VRBZDD4U9YX6,,,,,,,,,,,,,,Tier II,,,  
3R05-31009,,Kanawha Valley Senior Services,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,1710 Pennsylvania Ave,,,Charleston,WV,25302,3934,3,http://www.kvss.org/,,C1C8B95XEBH3,,,,,,,,,,,,,,Tier II,,,  
3R05-31010,,Jefferson County Council on Aging,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,103 W 5Th Ave,,,Ranson,WV,25438,1405,3,http://www.jccoa.org/,,XJW6LJ1CMRF3,,,,,,,,,,,,,,Tier II,,,  
3R05-31011,,Harrison County Senior Citizens Center,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,500 W Main St,,,Clarksburg,WV,26301,2819,3,www.hcscwv.org,,MJMVKFFKN8J5,,,,,,,,,,,,,,Tier II,,,  
3R05-31012,,Hancock County Senior Services,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,647 Gas Valley Road,,,New Cumberland,WV,26047,,3,http://hcssi.org/,,DLS2C5T842M5,,,,,,,,,,,,,,Tier II,,,  
3R05-31015,,Family Service Upper Ohio Valley,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,2200 Main Street 1St Floor,,,Wheeling,WV,26003,2866,3,https://www.fsuov.com/,,YZFWN9TJ1GK3,,,,,,,,,,,,,,Tier II,,,  
3R05-31016,,Council on Aging (Wyoming County),,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,695 Mountaineer Highway,,458,Mullens,WV,25882,,3,http://www.wccoa.com/locations/,,T9U3LGNEJ6H3,,,,,,,,,,,,,,Tier II,,,  
3R05-31017,,Council of Senior Citizens of Gilmer County,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,720 N Lewis St,,,Glenville,WV,26351,1319,3,,,CX7AKKDAE2X9,,,,,,,,,,,,,,Tier II,,,  
3R05-31018,,Berkeley Senior Services,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,217 N High St,,,Martinsburg,WV,25404,4419,3,http://www.berkeleyseniorservices.org/,,DKY3MB3RRMZ7,,,,,,,,,,,,,,Tier II,,,  
3R05-31019,,Community Action of South Eastern WV (CASE),,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,355 Bluefield Ave,,,Bluefield,WV,24701,2883,3,www.casewv.org/,,HLW8M7W6NTD3,,,,,,,,,,,,,,Tier II,,,  
3R05-31020,,"Clay Senior & Community Services, Inc.",,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,174 Main St,,455,Clay,WV,25043,455,3,,,TGL2KEXLYLB5,,,,,,,,,,,,,,Tier II,,,  
3R05-31021,,"Christian Help, Inc. of Mingo County",,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,100 Lincoln St,,1257,Kermit,WV,25674,1301,3,http://www.christianhelpmingo.org/,,RJ3GNL6LJMP4,,,,,,,,,,,,,,Tier II,,,  
3R05-31022,,"CHANGE, Inc.",,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,3158 West St,,,Weirton,WV,26062,4637,3,www.changeinc.org,,THESL9JV23N1,,,,,,,,,,,,,,Tier II,,,  
3R05-31023,,"Central WV Community Action, Inc.",,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,106 Frederick St,,1070,Clarksburg,WV,26301,4259,3,https://centralwvaction.org,,CG4CGU6UGPL7,,,,,,,,,,,,,,Tier II,,,  
3R05-31024,,Braxton County Senior Citizens Center,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,6/30/2021,10/31/2021,23 Senior Center Dr,,,Sutton,WV,26601,9581,3,http://braxtoncountywv.org,,PW13YP58ZQE9,,,,,,,,,,,,,,Tier II,,,  
3R05-50188,3R05-027,Baron's Bus Inc.,,,Rural Reporter,Rural,Private-For-Profit Corporation,3R05,West Virginia Department of Transportation,Intercity Bus,6/30/2021,10/31/2021,13315 Brookpark Rd,,,Brookpark,OH,44142,1822,5,http://www.baronsbus.com/,,VBAKDG7HVKK3,,,,,,,,,,,,,,Tier II,,,  
3R06,3R06,Virginia Department of Rail and Public Transportation,DRPT,,State Reporter,Rural,,,,,9/30/2021,1/31/2022,600 E Main St Ste 2102,Suite 2102,,Richmond,VA,23219,3600,3,http://www.drpt.virginia.gov/,1459,EMU7L25FKNE9,,,,,,,,,,,,,,Tier II,95,58," $100,994 "
3R06-30069,3069,City of Danville Mass Transit System,Danville Transit,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,427 Patton St,,3300,Danville,VA,24541,1215,3,http://www.danvilletransit.com/,1452,WWFKQULH79W5,,,,,,,,,18,,18,,,Tier II,,,  
3R06-30114,3R06-011,Accomack-Northhampton Transportation District Comm,STAR Transit,STAR Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,21250 Cooperative Way,,126,Tasley,VA,23441,441,3,http://www.mystartransit.org/,1459,FKLFNXZDERM8,,,,,,,,,12,,12,,,Tier II,,,  
3R06-30115,3R06-020,Pulaski Area Transit,PAT,,Rural Reporter,Rural,Private-Non-Profit Corporation,3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,6226 University Park Dr Ste 3100,Suite 500,,Radford,VA,24141,8631,3,http://www.pulaskitransit.org,1459,EME3SJ8D4FM7,,,,,,,,,10,,10,,,Tier II,,,  
3R06-30118,3R06-044,Virginia Regional Transit,,,Rural Reporter,Rural,Private-Non-Profit Corporation,3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,109 N Bailey Ln,,,Purcellville,VA,20132,3085,3,www.vatransit.org,1459,C1BHKMZF8395, 144 ,"153,600",,,,,,,33,,33,,,Tier II,,,  
3R06-30132,3R06-003,Mountain Empire Older Citizens Transit,MEOC Transit,,Rural Reporter,Rural,Private-Non-Profit Corporation,3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,1501 3Rd Ave E,,888,Big Stone Gap,VA,24219,3115,3,http://www.meoc.org,1459,ZLHBC2N36JV1,,,,,,,,,44,,44,1,1,Tier II,,,  
3R06-30142,3R06-018,Lake Area Bus,LAB,,Rural Reporter,Rural,Private-Non-Profit Corporation,3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,1105 W Danville St,,,South Hill,VA,23970,3501,3,http://www.lcaaa.org,1459,NKEUC3TRKHM9,,,,,,,,,2,,2,,,Tier II,,,  
3R06-30147,3R06-012,Town of Chincoteague,Pony Express,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,38 Francis Ave,,,Panacea,VA,32346,2090,3,http://www.chincoteague-va.gov,1459,NQD4RCX7HAN6,,,,,,,,,3,,3,,,Tier II,,,  
3R06-30157,3R06-051,Town of Altavista,Altavista Community Transit System (ACTS),,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,510 7Th St,,420,Altavista,VA,24517,1816,3,http://www.altavistava.gov,1459,DCEFZNKM2Z18,,,,,,,,,2,,2,,,Tier II,,,  
3R06-30164,3R06-004,Town of Bluefield/Graham Transit,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,112 Huffard Dr,,1026,Bluefield,VA,24605,9209,3,http://www.bluefieldva.org,1459,NTX1E7KMPV45,,,,,,,,,3,,3,,,Tier II,,,  
3R06-30165,3R06-013,Farmville Area Bus,FAB,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,502 Doswell Street,,368,Farmville,VA,23901,,3,http://www.farmvilleva.com,1459,,,,,,,,,,7,,7,,,Tier II,,,  
3R06-30172,3R06-015,Bay Transit,Bay Transit,,Rural Reporter,Rural,Area Agency on Aging,3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,5306 Old Virginia St,,610,Urbanna,VA,23175,,3,www.baytransit.org,1459,DRQEZN8K1VM3,,,,,,,,,36,,36,,,Tier II,,,  
3R06-30174,3R06-001,Four County Transit,Four County Transit,,Rural Reporter,Rural,Private-Non-Profit Corporation,3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,164 College Ridge Rd,Wardell Industrial Park,765,Cedar Bluff,VA,24609,,3,http://www.fourcountytransit.org,1459,,,,,,,,,,40,,40,,,Tier II,,,  
3R06-30178,3R06-021,"Unified Human Services Transportation Systems, Inc",RADAR Roanoke,,Rural Reporter,Rural,Private-Non-Profit Corporation,3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,2762 Shenandoah Ave Nw,,13825,Roanoke,VA,24017,5250,3,http://www.radartransit.org,1459,LW82MJJT1YT8,,,,,,,,,25,,25,,,Tier II,,,  
3R06-30184,3R06-016,Blackstone Area Bus Service,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,101 Babs Lane,,,Blackstone,VA,23824,,3,http://www.blackstonebus.com,1459,,,,,,,,,,8,,8,,,Tier II,,,  
3R06-31025,,Greensville Emporia Transit System,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,9/30/2021,1/31/2022,1781 Greensville County Cir,,,Emporia,VA,23847,6324,3,http://www.greensvillecountyva.gov/index.php/departments/transportation,1459,UXBGLNMWERF8,,,,,,,,,2,,2,,,Tier II,,,  
3R06-31026,,"Dillion's Bus Service, Inc.",,,Rural Reporter,Rural,Private-For-Profit Corporation,3R06,Virginia Department of Rail and Public Transportation,Intercity Bus,9/30/2021,1/31/2022,7479 New Ridge Rd,,,Hanover,MD,21076,3129,3,https://virginiabreeze.org/,1459,RXWHVERTMF59,,,,,,,,,,,,,,Tier II,,,  
40001,4001,Chattanooga Area Regional Transportation Authority,CARTA,,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,1617 Wilcox Blvd,,,Chattanooga,TN,37406,4302,4,http://www.gocarta.org/,1120,DTKCV1LY8ZA6, 289 ,"179,690",100,"Chattanooga, TN-GA",," 381,112 ","1,270",300,76,,76,,,Tier I (Rail),,,  
40002,4002,City of Knoxville,KAT,Knoxville Area Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,400 W Main St Ste 685,,,Knoxville,TN,37902,2405,4,http://www.katbus.com/,1124,FJEHNN9JALF8, 104 ,"190,223",74,"Knoxville, TN",," 558,696 ","1,275",438,76,,76,,,Tier II,,,  
40003,4003,City of Memphis,MATA,Memphis Area Transit Authority,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,1370 Levee Rd,,,Memphis,TN,38108,1011,4,http://www.matatransit.com/,1125,J1KQCMKJN7U8, 291 ,"690,943",41,"Memphis, TN-MS-AR",," 1,060,061 ","2,132",497,123,,123,,,Tier I (Rail),,,  
40004,4004,Metropolitan Transit Authority,MTA,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2021,10/31/2021,430 Myatt Dr,,,Madison,TN,37115,3025,4,http://www.nashvillemta.org/,1809,JCKQY7NM1EX1, 504 ,"694,144",44,"Nashville-Davidson, TN",," 969,587 ","1,721",563,165,28,193,,,Tier I (Fixed Route VOMS),,,  
40005,4005,City of Asheville,ART,ART (Asheville Redefines Transit),Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,70 Court Plz,,,Asheville,NC,28801,3507,4,http://www.ridetheart.com/,1057,WTHRNPCARBL9, 45 ,"93,350",133,"Asheville, NC",," 280,648 ","1,060",265,,19,19,,,Tier II,,,  
40006,4006,Cape Fear Public Transportation Authority,Wave,Wave Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2021,10/31/2021,Wave Transit Forden Station 505 Cando St,,12630,Wilmington,NC,28405,3503,4,http://www.wavetransit.com/,1066,ZJGZB1ELAN49, 200 ,"239,508",161,"Wilmington, NC",," 219,957 ","1,644",134,17,25,42,,,Tier II,,,  
