Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fuel/Energy Used:,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kwh),Electric Propulsion (kwh) Questionable,Electric Battery (kwh),Electric Battery (kwh) Questionable,Miles Traveled by Vehicles Fueled by:,Diesel,Diesel Questionable,Gasoline,Gasoline Questionable,Liquefied Petroleum Gas,Liquefied Petroleum Gas Questionable,Compressed Natural Gas,Compressed Natural Gas Questionable,Other Fuel,Other Fuel Questionable,Electric Propulsion,Electric Propulsion Questionable,Electric Battery,Electric Battery Questionable,Miles per Gallon/KwH:,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kwh),Electric Propulsion (mi/kwh) Questionable,Electric Battery (mi/kwh),Electric Battery (mi/kwh) Questionable,Any data questionable?,,,1
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,9019,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,723,634",258,DR, DO , 28 ,,0,,"7,844",,0,,"143,164",,0,,0,,0,,0,,,0,,0,,0,,"161,989",,0,,0,,0,,,,,0.00,,,,,,,,,,,,No,,,
Central Pennsylvania Transportation Authority,York,PA,3027,30027,Independent Public Agency or Authority of Transit Service,Full Reporter,"232,045",258,DR, DO , 174 ,,"9,848",,"805,692",,0,,0,,0,,0,,0,,0,,,"136,216",,"6,391,760",,0,,0,,0,,0,,0,,,13.83,,7.93,,,,,,,,,,,,No,,,
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,9019,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,723,634",258,MB, DO , 161 ,,"11,468",,"5,076",,0,,"2,448,881",,0,,0,,0,,0,,,"55,318",,"237,318",,0,,"7,519,810",,0,,0,,0,,,4.82,,46.75,,,,,,,,,,,,No,,,
Mass Transportation Authority ,Flint,MI,5032,50032,Independent Public Agency or Authority of Transit Service,Full Reporter,"356,218",256,MB, DO , 99 ,,"359,345",,0,,"115,211",,"249,288",,0,,667,,0,,0,,,"1,701,343",,0,,0,,"2,146,792",,"519,483",,0,,0,,,4.73,,,,0.00,,,,,,,,,,No,,,
Mass Transportation Authority ,Flint,MI,5032,50032,Independent Public Agency or Authority of Transit Service,Full Reporter,"356,218",256,DR, PT , 2 ,,"1,750",,0,,"4,680",,0,,0,,0,,0,,0,,,"16,177",,0,,0,,0,,"28,987",,0,,0,,,9.24,,,,0.00,,,,,,,,,,No,,,
Mass Transportation Authority ,Flint,MI,5032,50032,Independent Public Agency or Authority of Transit Service,Full Reporter,"356,218",256,DR, DO , 155 ,,"2,388",,"64,341",,"960,011",,0,,0,,0,,0,,0,,,"35,480",,"846,199",,0,,0,,"6,210,301",,0,,0,,,14.86,,13.15,,0.00,,,,,,,,,,No,,,
Omnitrans,San Bernardino,CA,9029,90029,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,932,666",251,DR, PT , 90 ,,0,,"203,698",,0,,"237,114",,0,,0,,0,,0,,,0,,"1,511,984",,0,,"1,508,571",,0,,0,,0,,,,,7.42,,,,,,,,,,,,No,,,
Omnitrans,San Bernardino,CA,9029,90029,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,932,666",251,MB, PT , 9 ,,0,,"20,168",,0,,"26,165",,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,0.00,,,,,,,,,,,,No,,,
Omnitrans,San Bernardino,CA,9029,90029,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,932,666",251,MB, DO , 152 ,,0,,0,,0,,"3,177,666",,0,,0,,0,,0,,,0,,0,,0,,"9,115,825",,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
Pioneer Valley Transit Authority,Springfield,MA,1008,10008,Independent Public Agency or Authority of Transit Service,Full Reporter,"621,300",251,MB, PT , 140 ,,"1,165,653",,"15,792",,0,,0,,0,,0,,0,,"162,450",,,"4,716,377",,"205,010",,0,,0,,0,,0,,"66,660",,,4.05,,12.98,,,,,,,,,,0.41,,No,,,
Pioneer Valley Transit Authority,Springfield,MA,1008,10008,Independent Public Agency or Authority of Transit Service,Full Reporter,"621,300",251,DR, PT , 111 ,,0,,"370,583",,0,,0,,0,,0,,0,,0,,,0,,"3,097,127",,0,,0,,0,,0,,0,,,,,8.36,,,,,,,,,,,,No,,,
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,"569,935",242,DR, PT , 90 ,,"2,449",,"83,611",,"388,990",,0,,0,,0,,0,,0,,,0,,"519,620",,0,,0,,"1,849,317",,0,,0,,,0.00,,6.21,,0.00,,,,,,,,,,No,,,
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,"569,935",242,RB, DO , 8 ,,"83,178",,0,,0,,0,,0,,0,,0,,0,,,"433,133",,0,,0,,0,,0,,0,,0,,,5.21,,,,,,,,,,,,,,No,,,
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,"569,935",242,VP, DO , 20 ,,0,,"22,441",,0,,0,,0,,0,,0,,0,,,0,,"478,019",,0,,0,,0,,0,,0,,,,,21.30,,,,,,,,,,,,No,,,
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,"569,935",242,MB, DO , 124 ,,"951,157",,0,,0,,"587,531",,0,,0,,0,,0,,,"4,049,654",,0,,0,,"2,381,475",,0,,0,,0,,,4.26,,,,,,,,,,,,,,No,,,
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,1048,10048,State Government Unit or Department of Transportation,Full Reporter,"924,859",239,RB, DO , 9 ,,"275,867",,0,,0,,0,,0,,0,,0,,0,,,"1,682,741",,0,,0,,0,,0,,0,,0,,,6.10,,,,,,,,,,,,,,No,,,
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,1048,10048,State Government Unit or Department of Transportation,Full Reporter,"924,859",239,MB, DO , 230 ,,"2,180,201",,0,,0,,0,,0,,0,,0,,0,,,"8,366,017",,0,,0,,0,,0,,0,,0,,,3.84,,,,,,,,,,,,,,No,,,
City of Madison,Madison,WI,5005,50005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"401,661",234,MB, DO , 183 ,,"1,205,539",,0,,0,,0,,0,,0,,0,,0,,,"5,987,584",,0,,0,,0,,0,,0,,0,,,4.97,,,,,,,,,,,,,,No,,,
Des Moines Area Regional Transit Authority,Des Moines,IA,7010,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,"450,070",230,VP, DO , 97 ,,0,,"120,298",,0,,0,,0,,0,,0,,0,,,0,,"1,795,993",,0,,0,,0,,0,,0,,,,,14.93,,,,,,,,,,,,No,,,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,5050,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,487,483",230,DR, PT , 74 ,,"103,430",,"437,444",,0,,0,,0,,0,,0,,0,,,"1,331,257",,"2,109,367",,0,,0,,0,,0,,0,,,12.87,,4.82,,,,,,,,,,,,No,,,
Des Moines Area Regional Transit Authority,Des Moines,IA,7010,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,"450,070",230,DR, DO , 21 ,,"88,216",,"24,685",,0,,0,,0,,0,,0,,0,,,"642,467",,"20,606",,0,,0,,0,,0,,0,,,7.28,,0.83,,,,,,,,,,,,No,,,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,5050,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,487,483",230,RB, DO , 18 ,,0,,0,,0,,0,,0,,0,,0,,"1,406,213",,,0,,0,,0,,0,,0,,0,,"606,870",,,,,,,,,,,,,,,0.43,,No,,,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,5050,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,487,483",230,MB, DO , 138 ,,"1,889,258",,0,,0,,0,,0,,0,,0,,"103,774",,,"8,298,521",,0,,0,,0,,0,,0,,"273,941",,,4.39,,,,,,,,,,,,2.64,,No,,,
Des Moines Area Regional Transit Authority,Des Moines,IA,7010,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,"450,070",230,MB, DO , 110 ,,"793,831",,"4,389",,0,,0,,0,,0,,0,,0,,,"3,642,762",,0,,0,,0,,0,,0,,0,,,4.59,,0.00,,,,,,,,,,,,No,,,
Lane Transit District,Eugene,OR,0007,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,"247,421",229,MB, DO , 71 ,,"668,750",,0,,0,,0,,0,,0,,0,,"17,694",,,"3,154,229",,0,,0,,0,,0,,0,,"17,513",,,4.72,,,,,,,,,,,,0.99,,No,,,
Lane Transit District,Eugene,OR,0007,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,"247,421",229,DR, PT , 55 ,,0,,"172,105",,0,,0,,0,,0,,0,,0,,,0,,"1,277,964",,0,,0,,0,,0,,0,,,,,7.43,,,,,,,,,,,,No,,,
Lane Transit District,Eugene,OR,0007,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,"247,421",229,MB, PT , 3 ,,"8,504",,"16,727",,0,,0,,0,,0,,0,,0,,,"61,235",,"82,711",,0,,0,,0,,0,,0,,,7.20,,4.94,,,,,,,,,,,,No,,,
Lane Transit District,Eugene,OR,0007,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,"247,421",229,VP, PT , 16 ,,0,,"21,194",,0,,0,,0,,0,,0,,0,,,0,,"375,279",,0,,0,,0,,0,,0,,,,,17.71,,,,,,,,,,,,No,,,
Lane Transit District,Eugene,OR,0007,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,"247,421",229,RB, DO , 13 ,,"211,441",,0,,0,,0,,0,,0,,0,,0,,,"742,076",,0,,0,,0,,0,,0,,0,,,3.51,,,,,,,,,,,,,,No,,,
"Academy Lines, Inc.",Hoboken,NJ,2122,20122,Private-For-Profit Corporation,Full Reporter,"18,351,295",225,CB, DO , 225 ,,"1,757,047",,0,,0,,0,,0,,0,,0,,0,,,"8,094,125",,0,,0,,0,,0,,0,,0,,,4.61,,,,,,,,,,,,,,No,,,
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority",Syracuse,NY,2018,20018,Independent Public Agency or Authority of Transit Service,Full Reporter,"412,317",224,DR, DO , 33 ,,"5,417",,"99,266",,0,,0,,0,,0,,0,,0,,,"36,329",,"670,305",,0,,0,,0,,0,,0,,,6.71,,6.75,,,,,,,,,,,,No,,,
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority",Syracuse,NY,2018,20018,Independent Public Agency or Authority of Transit Service,Full Reporter,"412,317",224,DR, PT , 30 ,,0,,"90,987",,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,0.00,,,,,,,,,,,,No,,,
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority",Syracuse,NY,2018,20018,Independent Public Agency or Authority of Transit Service,Full Reporter,"412,317",224,MB, DO , 161 ,,"943,470",,0,,0,,"487,428",,0,,0,,0,,0,,,"2,301,390",,0,,0,,"3,005,943",,0,,0,,0,,,2.44,,,,,,,,,,,,,,No,,,
METRO Regional Transit Authority ,Akron,OH,5010,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,"569,499",212,DR, DO , 73 ,,"127,981",,0,,0,,"101,303",,0,,0,,0,,0,,,"1,139,227",,0,,0,,"425,394",,0,,0,,0,,,8.90,,,,,,,,,,,,,,No,,,
METRO Regional Transit Authority ,Akron,OH,5010,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,"569,499",212,DR, PT , 22 ,,0,,"44,806",,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,0.00,,,,,,,,,,,,No,,,
METRO Regional Transit Authority ,Akron,OH,5010,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,"569,499",212,MB, DO , 117 ,,"332,106",,0,,0,,"918,368",,0,,0,,0,,0,,,"1,323,907",,0,,0,,"3,438,009",,0,,0,,0,,,3.99,,,,,,,,,,,,,,No,,,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,"87,106",210,MB, DO , 9 ,,406,,0,,0,,"80,219",,0,,0,,0,,0,,,0,,0,,0,,"409,144",,0,,0,,0,,,0.00,,,,,,,,,,,,,,No,,,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,"87,106",210,DR, DO , 46 ,,0,,0,,0,,"241,011",,0,,0,,0,,0,,,0,,0,,0,,"1,281,272",,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,"87,106",210,CB, DO , 3 ,,0,,0,,0,,"19,716",,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,"87,106",210,DR, PT , 152 ,,"1,973",,"95,237",,0,,"22,546",,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,0.00,,0.00,,,,,,,,,,,,No,,,
North County Transit District,Oceanside,CA,9030,90030,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,956,746",203,YR, PT , 8 ,,"411,870",,0,,0,,0,,0,,0,,0,,0,,,"708,922",,0,,0,,0,,0,,0,,0,,,1.72,,,,,,,,,,,,,,No,,,
North County Transit District,Oceanside,CA,9030,90030,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,956,746",203,DR, PT , 33 ,,0,,"195,711",,0,,0,,0,,0,,0,,0,,,0,,"2,049,351",,0,,0,,0,,0,,0,,,,,10.47,,,,,,,,,,,,No,,,
North County Transit District,Oceanside,CA,9030,90030,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,956,746",203,CR, PT , 24 ,,"837,846",,0,,0,,0,,0,,0,,0,,0,,,"300,317",,0,,0,,0,,0,,0,,0,,,0.36,,,,,,,,,,,,,,No,,,
North County Transit District,Oceanside,CA,9030,90030,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,956,746",203,MB, PT , 138 ,,"66,720",,"45,186",,0,,"1,543,548",,0,,0,,0,,0,,,"252,215",,0,,0,,"5,669,148",,0,,0,,0,,,3.78,,0.00,,,,,,,,,,,,No,,,
Toledo Area Regional Transit Authority,Toledo,OH,5022,50022,Independent Public Agency or Authority of Transit Service,Full Reporter,"507,643",198,MB, DO , 97 ,,0,,495,,0,,0,,"698,970",,0,,0,,0,,,"2,833,533",,"2,321",,0,,0,,0,,0,,0,,,,,4.69,,,,,,,,,,,,No,,,
Toledo Area Regional Transit Authority,Toledo,OH,5022,50022,Independent Public Agency or Authority of Transit Service,Full Reporter,"507,643",198,DR, DO , 52 ,,0,,0,,0,,0,,"167,766",,0,,0,,0,,,"1,579,230",,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
Toledo Area Regional Transit Authority,Toledo,OH,5022,50022,Independent Public Agency or Authority of Transit Service,Full Reporter,"507,643",198,DR, PT , 49 ,,0,,"17,998",,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,0.00,,,,,,,,,,,,No,,,
Hillsborough Area Regional Transit Authority,Tampa,FL,4041,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770",197,DR, DO , 56 ,,"1,731",,"153,605",,0,,"175,035",,0,,0,,0,,0,,,"14,609",,"1,455,930",,0,,"1,300,068",,0,,0,,0,,,8.44,,9.48,,,,,,,,,,,,No,,,
Hillsborough Area Regional Transit Authority,Tampa,FL,4041,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770",197,SR, DO , 4 ,,0,,0,,0,,0,,0,,0,,"744,400",,0,,,0,,0,,0,,0,,0,,"116,320",,0,,,,,,,,,,,,,0.16,,,,No,,,
"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,9008,90008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996",197,DR, PT , 2 ,,0,,0,,0,,"3,379",,0,,0,,0,,0,,,0,,27,,0,,"25,309",,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,9008,90008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996",197,MB, DO , 166 ,,0,,0,,0,,"1,811,173",,0,,"263,672",,0,,0,,,0,,0,,0,,"5,271,597",,"409,385",,0,,0,,,,,,,,,19.99,,,,,,,,No,,,
Hillsborough Area Regional Transit Authority,Tampa,FL,4041,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,441,770",197,MB, DO , 137 ,,"1,400,241",,0,,0,,"1,094,540",,0,,0,,0,,0,,,"5,137,541",,0,,0,,"4,206,026",,0,,0,,0,,,3.67,,,,,,,,,,,,,,No,,,
Long Beach Transit,Long Beach,CA,9023,90023,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"12,150,996",196,MB, DO , 186 ,,"157,066",,"828,111",,0,,"1,319,189",,0,,0,,0,,"350,166",,,"359,309",,"2,442,193",,0,,"4,716,656",,0,,0,,"165,353",,,2.29,,2.95,,,,,,,,,,0.47,,No,,,
Long Beach Transit,Long Beach,CA,9023,90023,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"12,150,996",196,DR, PT , 10 ,,0,,"1,952",,0,,"26,419",,0,,0,,0,,0,,,0,,"18,678",,0,,"302,517",,0,,0,,0,,,,,9.57,,,,,,,,,,,,No,,,
"Southern California Regional Rail Authority, dba: Metrolink",Los Angeles,CA,9151,90151,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996",195,CR, PT , 195 ,,"8,562,498",,0,,0,,0,,0,,0,,0,,0,,,"3,015,416",,0,,0,,0,,0,,0,,0,,,0.35,,,,,,,,,,,,,,No,,,
Greater Dayton Regional Transit Authority,Dayton,OH,5017,50017,Independent Public Agency or Authority of Transit Service,Full Reporter,"724,091",194,DR, DO , 51 ,,0,,"372,195",,0,,0,,0,,0,,0,,0,,,0,,"2,443,925",,0,,0,,0,,0,,0,,,,,6.57,,,,,,,,,,,,No,,,
Greater Dayton Regional Transit Authority,Dayton,OH,5017,50017,Independent Public Agency or Authority of Transit Service,Full Reporter,"724,091",194,TB, DO , 26 ,,0,,0,,0,,0,,0,,0,,"1,647,327",,0,,,0,,0,,0,,0,,0,,"198,697",,0,,,,,,,,,,,,,0.12,,,,No,,,
Greater Dayton Regional Transit Authority,Dayton,OH,5017,50017,Independent Public Agency or Authority of Transit Service,Full Reporter,"724,091",194,MB, DO , 117 ,,"1,269,709",,0,,0,,0,,0,,0,,0,,0,,,"6,544,355",,0,,0,,0,,0,,0,,0,,,5.15,,,,,,,,,,,,,,No,,,
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,6019,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"741,318",193,DR, DO , 62 ,,0,,"354,042",,0,,0,,0,,0,,0,,0,,,0,,"2,361,993",,0,,0,,0,,0,,0,,,,,6.67,,,,,,,,,,,,No,,,
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,6019,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"741,318",193,MB, DO , 131 ,,"1,269,741",,0,,0,,"398,541",,0,,0,,0,,0,,,"5,182,767",,0,,0,,"1,285,343",,0,,0,,0,,,4.08,,,,,,,,,,,,,,No,,,
"City of El Paso, dba: Sun Metro",El Paso,TX,6006,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"803,086",190,DR, PT , 61 ,,0,,0,,0,,"536,485",,0,,0,,0,,0,,,0,,0,,0,,"3,606,821",,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
"City of El Paso, dba: Sun Metro",El Paso,TX,6006,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"803,086",190,SR, DO , 4 ,,0,,0,,0,,0,,0,,0,,"373,184",,0,,,0,,0,,0,,0,,0,,"98,665",,0,,,,,,,,,,,,,0.26,,,,No,,,
"City of El Paso, dba: Sun Metro",El Paso,TX,6006,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"803,086",190,MB, DO , 125 ,,0,,0,,0,,"2,349,071",,0,,0,,0,,0,,,0,,0,,0,,"7,506,674",,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
Capital Area Transportation Authority,Lansing,MI,5036,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,"313,532",184,MB, DO , 87 ,,"784,424",,0,,0,,0,,0,,0,,0,,0,,,"3,519,258",,0,,0,,0,,0,,0,,0,,,4.49,,,,,,,,,,,,,,No,,,
Capital Area Transportation Authority,Lansing,MI,5036,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,"313,532",184,DR, PT , 63 ,,"3,082",,"238,821",,0,,0,,0,,0,,0,,0,,,0,,"2,552,703",,0,,0,,0,,0,,0,,,0.00,,10.69,,,,,,,,,,,,No,,,
Green Mountain Transit Authority,Burlington,VT,1066,10066,Independent Public Agency or Authority of Transit Service,Full Reporter,"108,740",184,DR, PT , 62 ,,0,,"61,483",,0,,0,,0,,0,,0,,0,,,0,,"755,038",,0,,0,,0,,0,,0,,,,,12.28,,,,,,,,,,,,No,,,
Green Mountain Transit Authority,Burlington,VT,1066,10066,Independent Public Agency or Authority of Transit Service,Full Reporter,"108,740",184,MB, DO , 56 ,,"300,805",,"25,731",,0,,0,,0,,0,,0,,0,,,"2,900,962",,"9,416",,0,,0,,0,,0,,0,,,9.64,,0.37,,,,,,,,,,,,No,,,
Green Mountain Transit Authority,Burlington,VT,1066,10066,Independent Public Agency or Authority of Transit Service,Full Reporter,"108,740",184,DR, DO , 46 ,,"19,230",,"32,685",,0,,0,,0,,0,,0,,0,,,"11,279",,"39,488",,0,,0,,0,,0,,0,,,0.59,,1.21,,,,,,,,,,,,No,,,
Capital Area Transportation Authority,Lansing,MI,5036,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,"313,532",184,DR, DO , 34 ,,"22,444",,"124,760",,0,,0,,"14,002",,0,,0,,0,,,"319,418",,"601,390",,0,,0,,0,,0,,0,,,14.23,,4.82,,,,,,,,,,,,No,,,
Green Mountain Transit Authority,Burlington,VT,1066,10066,Independent Public Agency or Authority of Transit Service,Full Reporter,"108,740",184,CB, DO , 20 ,,"135,935",,"11,127",,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,0.00,,0.00,,,,,,,,,,,,No,,,
South Central Transit Authority,Lancaster,PA,,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,"402,004",182,MB, DO , 76 ,,0,,0,,0,,0,,"676,242",,0,,0,,0,,,"3,118,252",,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
South Central Transit Authority,Lancaster,PA,,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,"402,004",182,DR, PT , 71 ,,0,,"430,954",,0,,0,,0,,0,,0,,0,,,0,,"3,071,111",,0,,0,,0,,0,,0,,,,,7.13,,,,,,,,,,,,No,,,
South Central Transit Authority,Lancaster,PA,,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,"402,004",182,DR, DO , 35 ,,0,,"142,674",,0,,0,,0,,0,,0,,0,,,0,,"788,184",,0,,0,,0,,0,,0,,,,,5.52,,,,,,,,,,,,No,,,
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,0024,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,849,898",181,DR, DO , 52 ,,"174,140",,"3,754",,0,,0,,0,,0,,0,,0,,,"1,779,519",,"28,316",,0,,0,,0,,0,,0,,,10.22,,7.54,,,,,,,,,,,,No,,,
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,0024,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,849,898",181,VP, DO , 23 ,,0,,"14,276",,0,,0,,0,,0,,0,,0,,,0,,"271,754",,0,,0,,0,,0,,0,,,,,19.04,,,,,,,,,,,,No,,,
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,0024,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,849,898",181,MB, DO , 106 ,,"912,460",,"8,137",,0,,0,,0,,0,,0,,0,,,"4,737,553",,"55,726",,0,,0,,0,,0,,0,,,5.19,,6.85,,,,,,,,,,,,No,,,
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,0012,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"251,243",177,VP, PT , 82 ,,0,,"84,460",,0,,0,,0,,0,,0,,0,,,0,,"1,516,736",,0,,0,,0,,0,,0,,,,,17.96,,,,,,,,,,,,No,,,
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,0012,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"251,243",177,MB, DO , 45 ,,"478,938",,0,,0,,0,,0,,0,,0,,0,,,"2,004,042",,0,,0,,0,,0,,0,,0,,,4.18,,,,,,,,,,,,,,No,,,
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,0012,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"251,243",177,DR, PT , 40 ,,0,,"119,630",,0,,0,,0,,0,,0,,0,,,0,,"954,204",,0,,0,,0,,0,,0,,,,,7.98,,,,,,,,,,,,No,,,
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,0012,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"251,243",177,MB, PT , 10 ,,0,,"29,840",,0,,0,,0,,0,,0,,0,,,0,,"207,255",,0,,0,,0,,0,,0,,,,,6.95,,,,,,,,,,,,No,,,
New Orleans Regional Transit Authority,New Orleans,LA,6032,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,"899,703",173,MB, PT , 97 ,,0,,0,,0,,0,,"1,881,200",,0,,0,,0,,,"6,386,315",,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
New Orleans Regional Transit Authority,New Orleans,LA,6032,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,"899,703",173,DR, PT , 43 ,,0,,"219,239",,0,,0,,916,,0,,0,,0,,,"10,058",,"1,473,354",,0,,0,,0,,0,,0,,,,,6.72,,,,,,,,,,,,No,,,
New Orleans Regional Transit Authority,New Orleans,LA,6032,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,"899,703",173,SR, PT , 31 ,,0,,0,,0,,0,,0,,0,,"4,570,080",,0,,,0,,0,,0,,0,,0,,"1,137,596",,0,,,,,,,,,,,,,0.25,,,,No,,,
New Orleans Regional Transit Authority,New Orleans,LA,6032,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,"899,703",173,FB, PT , 2 ,,"224,149",,0,,0,,0,,0,,0,,0,,0,,,"16,187",,0,,0,,0,,0,,0,,0,,,0.07,,,,,,,,,,,,,,No,,,
